match_id,batter,runs,impact,balls,avg_pressure
336010,R Dravid,5,5.0,11,0.0
336010,S Chanderpaul,7,7.0,11,0.0
336010,SC Ganguly,20,20.0,22,0.0
336010,T Taibu,15,15.0,12,0.08333333333333333
336010,Umar Gul,6,9.600000000000001,2,2.0
336010,WP Saha,17,24.200000000000003,10,1.3
336011,AC Gilchrist,61,61.0,49,0.0
336011,DB Ravi Teja,6,9.600000000000001,8,2.0
336011,GC Smith,40,41.2,43,0.06976744186046512
336011,HH Gibbs,19,19.0,20,0.0
336011,M Kaif,17,17.9,14,0.06666666666666667
336011,PP Ojha,1,1.6,2,2.0
336011,RG Sharma,5,5.3,8,0.5
336011,RP Singh,2,3.2,3,2.0
336011,SB Bangar,3,3.3,6,0.8333333333333334
336011,SB Styris,13,13.0,11,0.0
336011,SR Watson,5,6.5,2,1.0
336011,Shahid Afridi,1,1.0,3,0.0
336011,Y Venugopal Rao,23,36.800000000000004,11,2.0
336011,YK Pathan,68,68.0,37,0.0
336012,B Akhil,5,6.5,4,1.0
336012,CL White,26,26.0,20,0.0
336012,MV Boucher,18,18.0,15,0.0
336012,Misbah-ul-Haq,0,0.0,1,0.0
336012,P Kumar,8,12.5,11,1.7272727272727273
336012,R Dravid,11,11.3,16,0.125
336012,R Vinay Kumar,23,34.400000000000006,17,1.6363636363636365
336012,RV Uthappa,19,19.3,16,0.125
336012,SP Goswami,20,20.0,24,0.0
336012,SR Tendulkar,40,42.4,43,0.0851063829787234
336012,ST Jayasuriya,54,54.0,37,0.0
336012,V Kohli,0,0.0,1,1.0
336013,DPMD Jayawardene,8,12.8,6,2.0
336013,IK Pathan,40,76.0,18,2.7222222222222223
336013,JA Morkel,7,9.1,6,1.0
336013,JR Hopes,14,14.0,7,0.2857142857142857
336013,K Goel,1,1.3,7,1.0
336013,MS Dhoni,60,67.2,43,0.4318181818181818
336013,PP Chawla,17,34.0,15,3.0
336013,RR Sarwan,20,26.0,22,1.0
336013,S Badrinath,64,64.9,47,0.11538461538461539
336013,S Vidyut,8,8.0,4,0.0
336013,SE Marsh,58,75.4,38,0.9743589743589743
336013,SK Raina,26,26.0,17,0.0
336013,SP Fleming,1,1.0,4,0.0
336013,U Kaul,0,0.0,1,3.0
336013,VRV Singh,0,0.0,1,3.0
336013,Yuvraj Singh,2,2.6,5,1.2
336014,A Chopra,24,24.0,23,0.0
336014,AC Gilchrist,24,31.2,17,1.0
336014,DB Ravi Teja,10,13.0,7,1.0
336014,DJ Hussey,57,69.60000000000001,29,0.5517241379310345
336014,HH Gibbs,5,6.5,7,1.0
336014,LR Shukla,14,18.200000000000003,3,1.0
336014,RG Sharma,33,42.900000000000006,24,1.0416666666666667
336014,RP Singh,6,12.0,4,3.0
336014,SB Bangar,2,3.2,4,2.0
336014,SB Styris,5,6.5,11,1.0
336014,SC Ganguly,91,97.0,57,0.1206896551724138
336014,Salman Butt,4,4.0,4,0.0
336014,T Taibu,9,11.7,5,1.0
336014,WPUJC Vaas,9,17.2,8,2.75
336014,Y Venugopal Rao,71,127.4,42,2.2888888888888888
336015,A Mishra,4,6.1,5,1.8
336015,AB de Villiers,20,20.0,22,0.0
336015,AD Mascarenhas,9,10.8,8,0.375
336015,G Gambhir,31,31.0,23,0.0
336015,GC Smith,24,26.1,27,0.3103448275862069
336015,KD Karthik,13,13.0,15,0.0625
336015,M Kaif,1,1.3,5,0.8
336015,M Rawat,5,8.0,4,2.0
336015,MF Maharoof,39,62.400000000000006,16,2.0
336015,NK Patel,4,6.4,2,2.0
336015,RA Jadeja,6,6.0,6,0.0
336015,S Dhawan,3,3.0,3,0.0
336015,SK Warne,11,17.6,12,2.0
336015,SR Watson,74,88.10000000000001,40,0.5
336015,TM Dilshan,18,27.900000000000002,15,1.5333333333333334
336015,V Sehwag,17,17.0,20,0.0
336015,VY Mahesh,0,0.0,1,2.0
